mites/bee,mites/300 bees,Total virus particles present
0.02040816326530612,6.122448979591836,42509071
0.0196078431372549,5.88235294117647,180464497
0.0625,18.75,257449008.4
0.125,37.5,923043.1
0.05555555555555555,16.666666666666664,5801695.9
0.06756756756756757,20.27027027027027,34946801
0.16,48,654870074.8
0.0851063829787234,25.53191489361702,639521
0.02608695652173913,7.826086956521738,37989.2
0.05,15,309346392.5
0.05434782608695652,16.304347826086957,19351703
0.022222222222222223,6.666666666666667,94249954.4
0.058823529411764705,17.647058823529413,51252150
0.04,12,18132309
0.03636363636363636,10.909090909090908,59006721
0.01020408163265306,3.061224489795918,332692.2
0.02564102564102564,7.692307692307692,24323038.6
0.04878048780487805,14.634146341463415,8354616.9
0.07547169811320754,22.641509433962263,110015211
0.06666666666666667,20,2608966.1
0.12844036697247707,38.53211009174312,364014356
0.1111111111111111,33.33333333333333,26125572.3
0.1326530612244898,39.79591836734694,1061005340
0.011235955056179775,3.3707865168539324,41020
0.1,30,542011234.2
0.015384615384615385,4.615384615384616,142419082
0.0196078431372549,5.88235294117647,9974803.9
NA,NA,3
NA,NA,27
NA,NA,0.1111111111111111
